Link,Keyword,Source_File
https://id.jobstreet.com/id/job/85109474?type=standard&ref=search-standalone#sol=1765b3eff2fae12e2fd6dfdbd6feacb652c13709,Call Center,call-center
https://id.jobstreet.com/id/job/85699940?type=standard&ref=search-standalone#sol=8b5fda49dffcc82ed8704310ad59e00a82786ae0,Call Center,call-center
https://id.jobstreet.com/id/job/85296842?type=standard&ref=search-standalone#sol=4bed78028ad1d27b262feeeee2ffc48682fb759f,Call Center,call-center
https://id.jobstreet.com/id/job/85176675?type=standard&ref=search-standalone#sol=f64a266534d897698afadd9fe4567f46e3a663ae,Call Center,call-center
https://id.jobstreet.com/id/job/85745698?type=standard&ref=search-standalone#sol=19f1db781cb0eb4f0a3fdf25b44d0c7167685047,Call Center,call-center
https://id.jobstreet.com/id/job/85023508?type=standard&ref=search-standalone#sol=05f7b1143fc2bd1f8ab4298361716b08bec2eb77,Call Center,call-center
https://id.jobstreet.com/id/job/85558692?type=standard&ref=search-standalone#sol=65dd2c02afce92cc62f94602185f526504eb923b,Call Center,call-center
https://id.jobstreet.com/id/job/84937846?type=standard&ref=search-standalone#sol=5984d0856a0854fc96782b2808cf000bc893690c,Call Center,call-center
https://id.jobstreet.com/id/job/85681440?type=standard&ref=search-standalone#sol=643749e599cc5baee8e9cd4a337278e36cf94ced,Call Center,call-center
https://id.jobstreet.com/id/job/85422813?type=standard&ref=search-standalone#sol=a95c3d90f305e21fb254f03519b0ce526eb7a451,Call Center,call-center
https://id.jobstreet.com/id/job/85551962?type=standard&ref=search-standalone#sol=895bdd25c0201960a35e069389fc606044f57641,Call Center,call-center
https://id.jobstreet.com/id/job/85090246?type=standard&ref=search-standalone#sol=0fd73ae193bd07abc26f65aad52f35703c1d81e6,Call Center,call-center
https://id.jobstreet.com/id/job/85568722?type=standard&ref=search-standalone#sol=97ac5b4168c24eaefe70ffde3c42dc2aef375a6c,Call Center,call-center
https://id.jobstreet.com/id/job/85623171?type=standard&ref=search-standalone#sol=2272eb0796925008bd4856da47ce5608e7717907,Call Center,call-center
https://id.jobstreet.com/id/job/84936438?type=standard&ref=search-standalone#sol=a466addb381a86e84561ac5e45f66527d7710875,Call Center,call-center
https://id.jobstreet.com/id/job/85571281?type=standard&ref=search-standalone#sol=a9be0e7a191bb49a9c0cc0bf9c0b22b4a92bc21e,Call Center,call-center
https://id.jobstreet.com/id/job/85095503?type=standard&ref=search-standalone#sol=341bc2b25cbcbc07581f089477e9e6d8a7b5f1fc,Call Center,call-center
